71 CC1=CC=C(C=C1)NC2=C3C(=C(C=C2)NC4=CC=C(C=C4)C)C(=O)C5=CC=CC=C5C3=O 128-80-3 1.0 218.0
72 C(CCBr)CCBr 111-24-0 2.0 fail
73 CC(=CCC1=C(C=C2C(=C1O)C(=O)C3=C(O2)C=CC(=C3)O)OC)C 77741-58-3 1.0 fail
74 CN1C=NC2=C1C(=O)N(C(=O)N2)C 611-59-6 1.0 fail
75 C1CC(=O)N(C1)CCO 3445-11-2 2.0 fail
76 CCCCCCCCCOCC 16979-32-1 2.0 fail
77 CN1C(=O)C2=C(N=C1N)N(C=N2)C3C(C(C(O3)CO)O)O 2140-65-0 1.0 fail
78 C1CN(CCC1C2=CN(C3=C2C=C(C=C3)Cl)C4=CC=C(C=C4)F)CCN5CCNC5=O 106516-24-9 1.0 fail
79 CC(CN(CCO)CCO)O 6712-98-7 2.0 fail
80 CCN(CC)C(=O)N1CCN(CC1)C 90-89-1 1.0 fail
81 CCCCCCCCCCCCCCCCCCC=C 3452-07-1 2.0 fail
82 CCCCCCCCCCCCCCCCCCCCO 629-96-9 1.0 66.1
83 CCCC(C=C)O 4798-44-1 2.0 fail
84 CCCCCS 110-66-7 2.0 fail
85 CCCCCCCCCCCCCN 2869-34-3 2.0 fail
86 CCCCCCCCCl 111-85-3 2.0 -57.8
87 CC1=CCCCC1 591-49-1 2.0 fail
88 CC1C=CC2=CC=CC=C12 767-59-9 2.0 fail
89 CN1C=C(C=CC1=O)C(=O)N 701-44-0 1.0 fail
90 CN1CCCCC1 626-67-5 2.0 fail
91 CC(=O)CSC 14109-72-9 2.0 fail
92 C1CCN(C1)C=O 3760-54-1 2.0 fail
93 C(CI)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F 2043-57-4 2.0 fail
94 CCCI 107-08-4 2.0 fail
95 C1CN1CCO 1072-52-2 2.0 fail
96 C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O 86-48-6 1.0 fail
97 COC(=O)CCCCCCCCC=C 111-81-9 2.0 27.5
98 CCCCCC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O 83709-73-3 1.0 fail
99 CCCCCCCCCCCCCCCC(=O)OC(CCCCCC)CCCCCCCCCCC(=O)O 1997286-65-3 1.0 fail
100 CCCCCC(=O)C=CC1C(CC(C1CC=CCCCC(=O)O)O)O 35850-13-6 1.0 fail
101 CCCCCCCCCCCCCCCC(=O)CCCCCCCCCCCCCCC 502-73-8 1.0 82.5
102 C1(C(C(C(C(C1O)O)O)O)O)O 551-72-4 1.0 fail
103 CCCC(=O)C1=C(C=C(C=C1)O)O 4390-92-5 1.0 73.0
104 C1C=CC(=O)O1 497-23-4 2.0 4.5
105 C1=CC=C2C(=C1)C(=O)OC(=N2)C3=CC=C(C=C3)C4=NC5=CC=CC=C5C(=O)O4 18600-59-4 1.0 fail
106 CCCCCCCCCCCCCCCCCCN(CCO)CCO 10213-78-2 2.0 fail
107 CC(C)(C#N)N=NC(C)(C)C#N 78-67-1 1.0 fail
108 COC(=O)C(C(OC)(F)F)(F)F 755-73-7 2.0 fail
109 CC(C)(C)C1=CC2=C(C=C1)OC(=N2)C3=CC=C(S3)C4=NC5=C(O4)C=CC(=C5)C(C)(C)C 7128-64-5 1.0 fail
110 CCCC(C)(C)C 590-35-2 2.0 fail
111 C(C(=O)O)(NC(=O)N)NC(=O)N 99-16-1 1.0 fail
112 CCC(CO)(COCC=C)COCC=C 682-09-7 2.0 fail
113 C1=CC(=C(C=C1Br)Br)OC2=CC(=C(C=C2Br)Br)Br 60348-60-9 2.0 -5.0
114 C(COCCS)OCCS 14970-87-7 2.0 fail
115 C1(=C(C(=C(C(=C1F)F)F)F)F)C(=O)O 602-94-8 1.0 fail
116 C1=C(C(=NC(=C1Cl)Cl)Cl)Cl 2402-79-1 1.0 90.5
117 CC(C(C)O)O 513-85-9 2.0 19.0
118 CCC1=NC=C(N=C1CC)C 18138-04-0 2.0 fail
119 CC1=C(N=CC=C1)C 583-61-9 2.0 fail
120 C1=CC2=C(C(=O)OC2=O)N=C1 699-98-9 1.0 fail
121 CCCCCC(=O)C(=O)C 585-25-1 2.0 fail
122 C1=CC(=CC=C1OC2=C(C=C(C=C2)Br)Br)Br 41318-75-6 1.0 fail
123 C[Si]1O[Si](O[Si](O[Si](O[Si](O1)C)C)C)C 6166-86-5 2.0 fail
124 COC1=C(C=C(C=C1Cl)Cl)Cl 87-40-1 1.0 61.5
125 C1=C(C=C(C(=C1Br)N)Br)Br 147-82-0 1.0 121.0
126 C1=CC(=C(C=C1Cl)Cl)OCC(=O)O 94-75-7 1.0 fail
127 C1=CC=C2C(=C1)C(=CC(=C2O)Cl)Cl 2050-76-2 1.0 fail
128 C1=CC(=C(C=C1Cl)Cl)C(F)(F)F 320-60-5 2.0 fail
129 CC(C)C(=O)C(C)C 565-80-0 2.0 -69.0
130 CC(CC(C)C(=O)O)C(=O)O 2121-67-7 1.0 fail
131 CC1=CC(=C(C=C1)N)C 95-68-1 2.0 fail
132 CC=CC=CC=O 142-83-6 2.0 fail
133 C1=CC(=C(C=C1Cl)N)Cl 95-82-9 1.0 fail
134 C1=CC(=C(C=C1Cl)O)Cl 583-78-8 2.0 fail
135 CC1=CC=C(O1)C 625-86-5 2.0 fail
136 COC1=CC(=C(C=C1)OC)CO 33524-31-1 2.0 fail
137 COC1=CC(=C(C=C1)OC)C=O 93-02-7 1.0 fail
138 C(=S)(N)NNC(=S)N 142-46-1 1.0 fail
139 CCCOC(=O)C1=CN=C(C=C1)C(=O)OCCC 136-45-8 2.0 fail
140 CC(C)(C)C1=C(C(=CC=C1)C(C)(C)C)O 128-39-2 2.0 fail
141 C1=CC(=C(C(=C1)Cl)C=O)Cl 83-38-5 1.0 fail
142 C1=CC(=C(C(=C1)O)C(=O)O)O 303-07-1 1.0 165.0
143 C1=CC(=CC2=C1C=CC(=C2)O)O 582-17-2 1.0 fail
144 CCO[Si](CCC1CCC2C(C1)O2)(OCC)OCC 10217-34-2 2.0 fail
145 CC(C(=O)O)OC1=CC(=CC=C1)Cl 101-10-0 1.0 113.0
146 CC1=CC2=C(C=C1)N=C(S2)C3=CC=C(C=C3)N 92-36-4 1.0 fail
147 CC(C(=O)O)OC1=CC=C(C=C1)OC 13794-15-5 1.0 65.5
148 CCN(CC)C1=CC(=C(C=C1)N=NC2=NC=C(C=C2)Br)O 14337-53-2 1.0 fail
149 CCOCC1=CC=CO1 6270-56-0 2.0 fail
150 C1COCCN1SC2=NC3=CC=CC=C3S2 102-77-2 1.0 80.0
151 CN1C2=CC=CC=C2C(=O)C=C1C3=CC4=C(C=C3)OCO4 485-61-0 1.0 fail
152 CCCCCCCCSCCO 3547-33-9 2.0 fail
153 CC(=O)C1=NC=C(N1)C(C(C(CO)O)O)O 94944-70-4 1.0 fail
154 CN(C)CCOCCO 1704-62-7 2.0 fail
155 CCCCC(CC)(CO)CO 115-84-4 1.0 fail
156 CC=CCO 6117-91-5 2.0 fail
157 CCCC1=CC=CO1 4229-91-8 2.0 fail
158 CCC(=O)C1=CC=CN1 1073-26-3 1.0 fail
159 CCC(=O)NCC(=O)O 21709-90-0 1.0 fail
160 CCC(CC)CO 97-95-0 2.0 fail
161 CCC(CC)C(=O)O 88-09-5 2.0 -15.0
162 CCC(=C)C=O 922-63-4 2.0 fail
163 CCCCC(CC)C(=O)OCC 2983-37-1 2.0 fail
164 C=CC1=CC=CC=N1 100-69-6 2.0 fail
165 C=CC1=CC2=CC=CC=C2C=C1 827-54-3 1.0 fail
166 CC(=O)C1=NCCS1 29926-41-8 1.0 25.5
167 CCC1=NC=CN=C1C(=O)C 32974-92-8 2.0 fail
168 CC(=O)C1=C(C=CC=N1)C(=O)O 89942-59-6 1.0 fail
169 C1=CC=C(C(=C1)C(=O)O)I=O 304-91-6 1.0 fail
170 C1=CC=NC(=C1)CCCO 2859-68-9 2.0 fail
171 C1=CSC(=C1)C(=O)CC(=O)C(F)(F)F 326-91-0 1.0 fail
172 C1=CSC(=C1)CO 636-72-6 2.0 fail
173 C1=CSC(=C1)C=O 98-03-3 2.0 fail
174 CCCCCCCC(=O)C 821-55-6 2.0 fail
175 C1=CC(=S)NC=C1 2637-34-5 1.0 fail
176 CC(C)CC1=NC=CN=C1OC 24683-00-9 2.0 fail
177 CCCCCC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O 13936-21-5 1.0 fail
178 CCC#CC 627-21-4 2.0 fail
179 CCCCC(=O)NCC(=O)O 24003-66-5 1.0 fail
180 CC(C)C(=O)C(=O)O 759-05-7 2.0 31.5
181 CC(=O)C=NO 306-44-5 1.0 fail
182 C(CC(=O)C(=O)O)CC(=O)O 3184-35-8 1.0 127.0
183 CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N 105650-23-5 1.0 327.0
184 C1=C(N=C(S1)N)CC(=O)O 29676-71-9 1.0 fail
185 CC1=CC(=C(C=C1Cl)N)S(=O)(=O)O 88-51-7 1.0 fail
186 COC1=C2C(=CC=C1)SC(=N2)N 5464-79-9 1.0 fail
187 C1=CC(=C(C=C1Br)C(=O)O)N 5794-88-7 1.0 fail
188 C1=CC=C(C(=C1)C(F)(F)F)N 88-17-5 2.0 fail
189 C(CNC(=O)O)N 109-58-0 1.0 fail
190 C1=CN=C(N=C1)N 109-12-6 1.0 fail
191 C1=CC=C(C(=C1)C(=O)N)N 88-68-6 1.0 110.0
192 CC(=C)Cl 557-98-2 2.0 -137.4
193 CCC1=C(C(=CC=C1)CC)NC(=O)CCl 6967-29-9 1.0 fail
194 CC1=CC(=C(C=C1)N)Cl 615-65-6 2.0 7.0
195 CCSCCCl 693-07-2 2.0 fail
196 C(CCl)S(=O)(=O)Cl 1622-32-8 2.0 fail
197 C=CC1=CC=CC=C1Cl 2039-87-4 2.0 fail
198 CC(C)(C(=O)Br)Br 20769-85-1 2.0 fail
199 C1C2=CC=CC=C2C3=C1C=C(C=C3)Br 1133-80-8 1.0 fail
