id_i,id_j,smiles_i,smiles_j,i,j,T_i,T_j,Tanimoto_dist,T_diff
2206486,4503138,O.OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O.OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,2024,3609,180.0,107.0,0.03448275862068961,73.0
1100995,1101001,CCCCCNC(N)=O,CCCCCCCCNC(N)=O,33,36,180.0,107.3,0.04761904761904767,72.7
7100087,7100093,O=C(OCCCCOC(=O)[C@H](O)C(F)(F)F)[C@@H](O)C(F)(F)F,O=C(OCCCCCCCCCOC(=O)[C@H](O)C(F)(F)F)[C@@H](O)C(F)(F)F,3983,3988,180.0,110.0,0.045454545454545414,70.0
1503120,1503121,COC(=O)[C@]1(NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@]2(NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C)CC[C@H](OC)C2)CC[C@H](OC)C1,COC(=O)[C@]1(NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@]2(NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@]3(NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C)CC[C@H](OC)C3)CC[C@H](OC)C2)CC[C@H](OC)C1.O.O,58,59,180.0,250.0,0.018181818181818188,70.0
1100995,1101009,CCCCCNC(N)=O,CCCCCCCCCCCCNC(N)=O,33,42,180.0,111.60000000000002,0.04761904761904767,68.39999999999998
1100995,1101010,CCCCCNC(N)=O,CCCCCCCCCCCCCNC(N)=O,33,43,180.0,111.60000000000002,0.04761904761904767,68.39999999999998
1100995,1101011,CCCCCNC(N)=O,CCCCCCCCCCCCCNC(N)=O,33,44,180.0,111.60000000000002,0.04761904761904767,68.39999999999998
1100995,1101002,CCCCCNC(N)=O,CCCCCCCCCNC(N)=O,33,37,180.0,112.3,0.04761904761904767,67.7
1100995,1101004,CCCCCNC(N)=O,CCCCCCCCCCNC(N)=O,33,38,180.0,112.3,0.04761904761904767,67.7
1100995,1101005,CCCCCNC(N)=O,CCCCCCCCCCNC(N)=O,33,39,180.0,112.60000000000002,0.04761904761904767,67.39999999999998
7100087,7100088,O=C(OCCCCOC(=O)[C@H](O)C(F)(F)F)[C@@H](O)C(F)(F)F,O=C(OCCCCCOC(=O)[C@H](O)C(F)(F)F)[C@@H](O)C(F)(F)F,3983,3984,180.0,113.0,0.045454545454545414,67.0
7203127,7203133,O=C(OCCCCOC(=O)[C@H](O)C(F)(F)F)[C@H](O)C(F)(F)F,O=C(OCCCCCCCCCCOC(=O)[C@H](O)C(F)(F)F)[C@H](O)C(F)(F)F,4455,4458,180.0,113.0,0.045454545454545414,67.0
7100087,7203133,O=C(OCCCCOC(=O)[C@H](O)C(F)(F)F)[C@@H](O)C(F)(F)F,O=C(OCCCCCCCCCCOC(=O)[C@H](O)C(F)(F)F)[C@H](O)C(F)(F)F,3983,4458,180.0,113.0,0.045454545454545414,67.0
1100995,1100996,CCCCCNC(N)=O,CCCCCCNC(N)=O,33,34,180.0,113.10000000000002,0.04761904761904767,66.89999999999998
1515301,7203127,O=C(OCCCCCCCCOC(=O)[C@H](O)C(F)(F)F)[C@H](O)C(F)(F)F,O=C(OCCCCOC(=O)[C@H](O)C(F)(F)F)[C@H](O)C(F)(F)F,194,4455,180.0,114.0,0.045454545454545414,66.0
7200402,7203127,O=C(OCCCCCCCCCCOC(=O)[C@H](O)C(F)(F)F)[C@H](O)C(F)(F)F,O=C(OCCCCOC(=O)[C@H](O)C(F)(F)F)[C@H](O)C(F)(F)F,4430,4455,180.0,114.0,0.045454545454545414,66.0
7100088,7203127,O=C(OCCCCCOC(=O)[C@H](O)C(F)(F)F)[C@@H](O)C(F)(F)F,O=C(OCCCCOC(=O)[C@H](O)C(F)(F)F)[C@H](O)C(F)(F)F,3984,4455,180.0,114.0,0.045454545454545414,66.0
7100089,7203127,O=C(OCCCCCCOC(=O)[C@H](O)C(F)(F)F)[C@@H](O)C(F)(F)F,O=C(OCCCCOC(=O)[C@H](O)C(F)(F)F)[C@H](O)C(F)(F)F,3985,4455,180.0,114.0,0.045454545454545414,66.0
7100093,7203127,O=C(OCCCCCCCCCOC(=O)[C@H](O)C(F)(F)F)[C@@H](O)C(F)(F)F,O=C(OCCCCOC(=O)[C@H](O)C(F)(F)F)[C@H](O)C(F)(F)F,3988,4455,180.0,114.0,0.045454545454545414,66.0
7100092,7203127,O=C(OCCCCCCCCCOC(=O)[C@H](O)C(F)(F)F)[C@@H](O)C(F)(F)F,O=C(OCCCCOC(=O)[C@H](O)C(F)(F)F)[C@H](O)C(F)(F)F,3987,4455,180.0,114.0,0.045454545454545414,66.0
7100090,7203127,O=C(OCCCCCCCOC(=O)C(O)C(F)(F)F)C(O)C(F)(F)F,O=C(OCCCCOC(=O)[C@H](O)C(F)(F)F)[C@H](O)C(F)(F)F,3986,4455,180.0,114.0,0.045454545454545414,66.0
1100995,1101013,CCCCCNC(N)=O,CCCCCCCCCCCCCCNC(N)=O,33,46,180.0,114.39999999999998,0.04761904761904767,65.60000000000002
1100995,1101012,CCCCCNC(N)=O,CCCCCCCCCCCCCNC(N)=O,33,45,180.0,114.39999999999998,0.04761904761904767,65.60000000000002
7108389,7108390,CC1CN(c2ccccc2)C(=O)N1c1cccc([N+](=O)[O-])c1,C[C@H]1CN(c2ccccc2)C(=O)N1c1cccc(N2C[C@H](C)N(c3cccc([N+](=O)[O-])c3)C2=O)c1,4059,4060,180.0,224.7,0.04878048780487809,44.69999999999999
1542819,1542824,NS(=O)(=O)c1ccccc1.O=C1CCCCCN1,NS(=O)(=O)c1ccccc1.O=C1CCCCN1,269,273,180.0,217.0,0.032258064516129004,37.0
1551863,1551864,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O.O=C1CCCCN1.O=C1CCCCN1,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O.O=C1CCCCCN1.O=C1CCCCCN1,340,341,180.0,154.14999999999998,0.021739130434782594,25.850000000000023
7117951,7117965,NS(=O)(=O)c1ccc(C(=O)O)cc1.O=C1CCCCCN1.O=C1CCCCCN1,NS(=O)(=O)c1ccc(C(=O)O)cc1.O=C1CCCCN1,4138,4147,180.0,202.15,0.02777777777777779,22.150000000000006
