id,smiles,Br–Br,C–Br,Br–C,C–C,C–Cl,Cl–C,C–F,F–C,C–N,N–C,C–O,O–C,C–P,P–C,C–S,S–C,Cl–Br,Br–Cl,Cl–Cl,F–Br,Br–F,F–Cl,Cl–F,F–F,F–P,P–F,F–S,S–F,H–Br,Br–H,H–C,C–H,H–Cl,Cl–H,H–F,F–H,H–H,H–N,N–H,H–O,O–H,H–P,P–H,H–S,S–H,N–Br,Br–N,N–Cl,Cl–N,N–F,F–N,N–N,N–O,O–N,N–P,P–N,N–S,S–N,O–Br,Br–O,O–Cl,Cl–O,O–F,F–O,O–O,O–P,P–O,O–S,S–O,P–Br,Br–P,P–Cl,Cl–P,P–P,P–S,S–P,S–Br,Br–S,S–Cl,Cl–S,S–S
7155430,CC1=C2c3ccccc3C(=O)N2C(C(C)C)C(=O)N1Cc1ccccc1,0.000,0.000,0.000,6.395,0.000,0.000,0.000,0.000,0.869,8.625,0.464,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.017,4.153,0.000,0.000,0.000,0.000,2.394,0.237,3.000,0.212,2.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155487,O=C(c1ccccc1)C(F)C(O)(c1ccccc1)c1ccccc1,0.000,0.000,0.000,6.704,0.000,0.000,0.351,7.000,0.000,0.000,0.611,5.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,4.026,3.200,0.000,0.000,0.288,4.000,1.706,0.000,0.000,0.261,2.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155500,COc1ccccc1-c1ccc(-c2ccccc2)c(O)c1-c1ccccc1,0.000,0.000,0.000,6.333,0.000,0.000,0.000,0.000,0.000,0.000,0.426,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.468,2.962,0.000,0.000,0.000,0.000,1.865,0.000,0.000,0.242,2.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155510,CC1=CCC[C@@]2(C)O[C@@H]2CCC(C)=C[C@H]2OCC(C)=C2CC1,0.000,0.000,0.000,5.850,0.000,0.000,0.000,0.000,0.000,0.000,0.538,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.373,6.526,0.000,0.000,0.000,0.000,2.174,0.000,0.000,0.369,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155533,CC(=O)[O-].CC1(C)C[C@@H](O)C[C@@H]2CCC[NH+]21.O,0.000,0.000,0.000,4.645,0.000,0.000,0.000,0.000,0.821,10.000,0.943,2.536,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.660,7.659,0.000,0.000,0.000,0.000,2.779,0.352,10.000,0.871,4.947,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.171,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155427,C#CCN(C(C)=O)C(CCC)C(=O)Nc1c(C)cccc1C,0.000,0.000,0.000,4.833,0.000,0.000,0.000,0.000,0.871,8.000,0.438,4.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.790,5.137,0.000,0.000,0.000,0.000,2.233,0.462,5.500,0.293,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155538,COC(=O)C1=C(C(C)C)OC(c2ccccc2)(c2ccccc2)C1COC(C)=O,0.000,0.000,0.000,5.818,0.000,0.000,0.000,0.000,0.000,0.000,1.016,5.882,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.340,3.583,0.000,0.000,0.000,0.000,2.168,0.000,0.000,0.601,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.850,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155689,CC1=NN(c2ccccc2)C(=O)[C@]12Oc1c(c(=O)oc3ccccc13)[C@@H]2c1cccc(Br)c1.ClCCl,0.000,0.152,4.000,6.388,0.079,1.000,0.000,0.000,0.257,6.000,0.992,6.368,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.120,2.000,3.714,2.496,0.188,2.000,0.000,0.000,1.319,0.099,2.000,0.316,1.182,0.000,0.000,0.000,0.000,0.600,1.000,0.000,0.000,0.000,0.000,1.000,0.400,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155688,CC1=NN(c2ccccc2)C(=O)[C@]12Oc1c(c(=O)oc3ccccc13)[C@@H]2c1cccc(Cl)c1,0.000,0.000,0.000,6.284,0.149,4.000,0.000,0.000,0.605,6.000,1.135,6.565,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.592,2.376,0.178,2.000,0.000,0.000,1.417,0.267,2.000,0.262,1.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.500,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155690,CCC1=NN(c2ccccc2)C(=O)[C@]12Oc1c(c(=O)oc3ccccc13)[C@@H]2c1ccccc1,0.000,0.000,0.000,6.244,0.000,0.000,0.000,0.000,0.503,6.500,0.915,5.565,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.511,2.734,0.000,0.000,0.000,0.000,1.900,0.257,2.500,0.287,1.571,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.409,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155692,C[C@@H]1[C@@H](O)C[C@H]2[C@](C)(CO)C[C@]3(C)CC[C@@H]1[C@@]23O,0.000,0.000,0.000,7.866,0.000,0.000,0.000,0.000,0.000,0.000,1.079,5.556,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.746,8.433,0.000,0.000,0.000,0.000,2.532,0.000,0.000,0.739,6.675,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155028,CCOP(=O)(OCC)[C@@H](N(O[C@@H](C)c1ccc(N)cc1)C(C)(C)C)C(C)(C)C.CCOP(=O)(OCC)[C@H](N(O[C@H](C)c1ccc(N)cc1)C(C)(C)C)C(C)(C)C,0.000,0.000,0.000,4.375,0.000,0.000,0.000,0.000,0.631,6.379,1.033,5.375,0.280,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.411,6.306,0.000,0.000,0.000,0.000,2.607,0.389,7.000,0.550,5.484,0.175,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.655,0.367,0.464,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.083,1.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155469,O=C1c2ccccc2-c2ccccc21,0.000,0.000,0.000,6.703,0.000,0.000,0.000,0.000,0.000,0.000,0.391,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.560,2.231,0.000,0.000,0.000,0.000,1.547,0.000,0.000,0.277,2.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155785,COC(=O)[C@H]1CC[C@@H](C(=O)OC)N1C(C)=O,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.836,8.000,2.032,4.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.070,4.680,0.000,0.000,0.000,0.000,2.286,0.402,5.000,1.313,4.179,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.613,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.710,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155841,C/C(I)=C/C(=O)O,0.000,0.000,0.000,2.750,0.000,0.000,0.000,0.000,0.000,0.000,1.286,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.600,3.250,0.000,0.000,0.000,0.000,1.667,0.000,0.000,1.214,2.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155611,COc1c2cc(C(C)(C)C)cc1[C@]1(C)O[C@]1(C)c1cc(C(C)(C)C)cc(c1OC)CCCCCCCC2,0.000,0.000,0.000,6.534,0.000,0.000,0.000,0.000,0.000,0.000,0.611,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.507,6.729,0.000,0.000,0.000,0.000,2.879,0.000,0.000,0.296,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155786,COC(=O)[C@@H]1CC[C@@H](C(=O)OC)N1C(C)=O.COC(=O)[C@H]1CC[C@H](C(=O)OC)N1C(C)=O,0.000,0.000,0.000,4.290,0.000,0.000,0.000,0.000,0.842,8.000,1.842,3.643,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.983,4.209,0.000,0.000,0.000,0.000,2.237,0.306,4.000,1.319,4.211,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.824,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155866,CC(C)(C(=O)O)[C@H](NS(=O)C(C)(C)C)c1ccccc1,0.000,0.000,0.000,5.458,0.000,0.000,0.000,0.000,0.625,9.000,0.500,3.000,0.000,0.000,0.400,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.796,5.914,0.000,0.000,0.000,0.000,2.225,0.236,6.000,0.448,3.500,0.000,0.000,0.383,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.667,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.333,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155888,C=CCc1c(-c2ccccc2)o/c(=N\CCCC)c2ccccc12,0.000,0.000,0.000,6.509,0.000,0.000,0.000,0.000,0.323,6.000,0.397,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.979,4.174,0.000,0.000,0.000,0.000,2.359,0.234,5.000,0.091,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7156001,Cc1ccc(S(=O)(=O)n2cc(Cc3ccccc3C#N)c(-c3ccc([N+](=O)[O-])cc3)n2)cc1,0.000,0.000,0.000,6.185,0.000,0.000,0.000,0.000,0.535,3.636,0.370,2.400,0.000,0.000,0.143,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.671,3.000,0.000,0.000,0.000,0.000,1.412,0.195,1.400,0.585,2.533,0.000,0.000,0.184,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.455,1.000,1.333,0.000,0.000,0.500,2.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.600,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155903,Cc1ccc(C(=O)C[C@H](c2ccc(Cl)cc2)C2C(=O)N(C(C)(C)C)C(=O)N(C(C)(C)C)C2=O)cc1,0.000,0.000,0.000,6.321,0.202,3.000,0.000,0.000,0.377,8.000,0.795,6.375,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.152,4.403,0.111,2.000,0.000,0.000,2.000,0.227,4.500,0.415,3.571,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.000,1.062,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7155693,CC(C)OC(=O)/C(=N\S(=O)C(C)(C)C)c1ccc(F)cc1,0.000,0.000,0.000,4.188,0.000,0.000,0.230,3.500,0.541,7.000,0.883,4.448,0.000,0.000,0.473,6.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.317,4.262,0.000,0.000,0.155,2.609,2.090,0.173,3.000,0.549,3.794,0.000,0.000,0.352,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.338,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.926,0.000,0.000,0.333,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7156070,O=c1[nH]cc(C(c2ccccc2)c2ccccc2)c2ccccc12,0.000,0.000,0.000,7.048,0.000,0.000,0.000,0.000,0.261,5.000,0.130,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.192,3.312,0.000,0.000,0.000,0.000,1.697,0.185,2.000,0.444,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
